"","year","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","candidateproportions","popsizes"
"133",2020,"LUNA","35029","PRESIDENT","DONALD J TRUMP","REPUBLICAN",4408,8103,0.543996050845366,23905
"134",2020,"MCKINLEY","35031","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",18029,26486,0.680699237332931,70824
"135",2020,"MCKINLEY","35031","PRESIDENT","DONALD J TRUMP","REPUBLICAN",7801,26486,0.294532960809484,70824
"136",2020,"MORA","35033","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",1745,2686,0.649664929262844,4478
"137",2020,"MORA","35033","PRESIDENT","DONALD J TRUMP","REPUBLICAN",903,2686,0.336187639612807,4478
"138",2020,"OTERO","35035","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",8485,23571,0.359976241992279,67967
"139",2020,"OTERO","35035","PRESIDENT","DONALD J TRUMP","REPUBLICAN",14521,23571,0.616053625217428,67967
"140",2020,"QUAY","35037","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",1170,3873,0.302091402013943,8197
"141",2020,"QUAY","35037","PRESIDENT","DONALD J TRUMP","REPUBLICAN",2634,3873,0.68009295120062,8197
"142",2020,"RIO ARRIBA","35039","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",10990,16628,0.660933365407746,38521
"143",2020,"RIO ARRIBA","35039","PRESIDENT","DONALD J TRUMP","REPUBLICAN",5408,16628,0.32523454414241,38521
"144",2020,"ROOSEVELT","35041","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",1802,6608,0.272699757869249,18350
"145",2020,"ROOSEVELT","35041","PRESIDENT","DONALD J TRUMP","REPUBLICAN",4634,6608,0.701271186440678,18350
"146",2020,"SANDOVAL","35043","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",40588,76562,0.530132441681252,148904
"147",2020,"SANDOVAL","35043","PRESIDENT","DONALD J TRUMP","REPUBLICAN",34174,76562,0.446357200700086,148904
"148",2020,"SAN JUAN","35045","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",18083,52294,0.345794928672505,123312
"149",2020,"SAN JUAN","35045","PRESIDENT","DONALD J TRUMP","REPUBLICAN",32874,52294,0.628638084675106,123312
"150",2020,"SAN MIGUEL","35047","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",7888,11531,0.684069031306912,27144
